round,love_start,love_end,income_actual,income_potential,income_lost_to_damage,base_income,building_income_actual,building_income_potential,painter_income,story_income,upkeep_actual,upkeep_potential,upkeep_unpaid_from_deaths,net_actual,net_potential,dmg_dealt,dmg_dealt_lightning,lightning_hits,dmg_taken_buildings,lives_lost,lives_end,enemies_spawned,kills,leaks,kidnaps,buildings_built,buildings_dead_at_payday,buildings_placed,love_spent_buildings,village_level,player_xp,wave_size,enemy_tier,cheated
0,15,25,10,10,0,5,5,5,0,0,0,0,0,10,10,0,0,0,0,1,2,1,0,1,0,1,0,1,10,1,1,1,0,0
1,15,25,10,10,0,5,5,5,0,0,0,0,0,10,10,56,0,0,10,0,2,1,1,0,0,2,0,1,10,1,2,1,0,0
2,3,17,14,14,0,5,9,9,0,0,0,0,0,14,14,168,0,0,0,0,2,3,3,0,0,3,0,1,10,1,5,3,0,0
3,0,14,14,14,0,5,9,9,0,0,0,0,0,14,14,280,0,0,10,0,2,5,5,0,0,4,0,1,10,1,10,5,0,0
4,4,23,19,19,0,5,14,14,0,0,0,0,0,19,19,392,0,0,40,0,2,7,7,0,0,5,0,1,10,1,17,7,0,0
5,2,21,19,24,5,5,14,19,0,0,0,0,0,19,24,532,0,0,140,0,2,10,9,0,1,6,1,1,10,1,28,10,0,0
6,1,20,19,24,5,5,14,19,0,0,0,0,0,19,24,728,0,0,130,0,2,13,12,0,1,7,1,1,10,1,41,13,0,0
7,0,26,26,31,5,7,19,24,0,0,0,0,0,26,31,987,0,0,240,0,2,16,15,0,1,8,1,1,10,2,7,16,0,0
8,1,17,17,31,14,7,10,24,0,0,1,1,0,16,30,1148,48,4,280,0,2,19,17,0,2,9,2,1,25,2,27,19,0,0
9,7,23,17,31,14,7,10,24,0,0,1,1,0,16,30,1407,84,7,320,1,1,22,19,1,2,9,2,0,0,2,49,22,0,0
