round,love_start,love_end,income_actual,income_potential,income_lost_to_damage,base_income,building_income_actual,building_income_potential,painter_income,story_income,upkeep_actual,upkeep_potential,upkeep_unpaid_from_deaths,net_actual,net_potential,dmg_dealt,dmg_dealt_lightning,lightning_hits,dmg_taken_buildings,lives_lost,lives_end,enemies_spawned,kills,leaks,kidnaps,buildings_built,buildings_dead_at_payday,buildings_placed,love_spent_buildings,village_level,player_xp,wave_size,enemy_tier,cheated
0,15,20,5,10,5,5,0,5,0,0,0,0,0,5,10,0,0,0,120,0,3,1,0,0,1,1,1,1,10,1,2,1,0,0
1,0,15,15,15,0,5,10,10,0,0,0,0,0,15,15,56,0,0,10,0,3,1,1,0,0,3,0,2,20,1,3,1,0,0
2,8,23,15,15,0,5,10,10,0,0,0,0,0,15,15,168,0,0,30,0,3,3,3,0,0,3,0,0,0,1,6,3,0,0
3,2,17,15,15,0,5,10,10,0,0,0,0,0,15,15,280,0,0,80,0,3,5,5,0,0,4,0,1,10,1,11,5,0,0
4,7,17,10,15,5,5,5,10,0,0,0,0,0,10,15,350,0,0,180,0,3,7,6,0,1,4,1,0,0,1,18,7,0,0
5,12,22,10,19,9,5,5,14,0,0,0,0,0,10,19,420,0,0,250,1,2,10,4,1,1,4,1,0,0,1,24,10,0,0
6,2,16,14,19,5,5,9,14,0,0,0,0,0,14,19,770,0,0,200,0,2,13,12,0,1,6,1,2,20,1,38,13,0,0
7,1,30,29,29,0,7,22,22,0,0,0,0,0,29,29,882,0,0,330,0,2,16,15,0,1,6,1,0,0,2,5,16,0,0
8,5,33,29,29,0,7,22,22,0,0,1,1,0,28,28,1127,72,6,250,0,2,19,18,0,1,7,1,1,25,2,24,19,0,0
9,3,16,16,29,13,7,9,22,0,0,3,3,0,13,26,1071,84,7,270,1,1,22,16,1,1,7,1,0,0,2,42,22,0,0
