round,love_start,love_end,income_actual,income_potential,income_lost_to_damage,base_income,building_income_actual,building_income_potential,painter_income,story_income,upkeep_actual,upkeep_potential,upkeep_unpaid_from_deaths,net_actual,net_potential,dmg_dealt,dmg_dealt_lightning,lightning_hits,dmg_taken_buildings,lives_lost,lives_end,enemies_spawned,kills,leaks,kidnaps,buildings_built,buildings_dead_at_payday,buildings_placed,love_spent_buildings,village_level,player_xp,wave_size,enemy_tier,cheated
1,0,14,14,14,0,5,9,9,0,0,0,0,0,14,14,56,0,0,0,0,3,1,1,0,0,2,0,2,20,1,1,1,0,0
2,4,22,18,18,0,5,13,13,0,0,0,0,0,18,18,168,0,0,30,0,3,3,3,0,0,2,0,0,0,1,4,3,0,0
3,5,23,18,18,0,5,13,13,0,0,0,0,0,18,18,280,0,0,0,0,3,5,5,0,0,3,0,1,10,1,9,5,0,0
4,8,35,27,27,0,5,22,22,0,0,0,0,0,27,27,392,0,0,30,0,3,7,7,0,0,4,0,1,10,1,16,7,0,0
5,8,39,31,31,0,5,26,26,0,0,0,0,0,31,31,532,0,0,130,0,3,10,9,0,1,5,1,1,10,1,27,10,0,0
6,8,39,31,31,0,5,26,26,0,0,0,0,0,31,31,756,0,0,140,0,3,13,12,0,1,6,1,1,10,1,40,13,0,0
7,9,51,42,42,0,7,35,35,0,0,0,0,0,42,42,1050,0,0,210,0,3,16,16,0,0,7,0,1,10,2,6,16,0,0
8,6,53,47,47,0,7,40,40,0,0,0,3,3,47,44,1190,0,0,380,0,3,19,18,0,1,8,1,1,35,2,26,19,0,0
9,3,56,56,56,0,7,49,49,0,0,3,6,3,53,50,1442,0,0,340,0,3,22,21,0,1,10,1,2,45,2,48,22,0,0
10,0,9,9,63,54,9,0,54,0,0,0,8,8,9,55,2244,0,0,2026,1,2,21,19,1,2,11,11,1,40,3,163,21,0,0
11,9,71,65,65,0,11,54,54,0,0,3,8,5,62,57,2248,0,0,500,0,2,22,21,0,1,11,1,0,0,4,100,22,1,0
12,0,54,59,73,14,13,46,60,0,0,5,8,3,54,65,2554,0,0,676,0,2,27,24,0,3,14,3,3,52,5,17,27,1,0
13,4,72,75,75,0,13,62,62,0,0,7,10,3,68,65,3267,0,0,744,0,2,32,30,0,2,14,2,0,20,5,49,32,1,0
14,2,64,76,95,19,13,63,82,0,0,14,14,0,62,81,4125,0,0,427,0,2,38,38,0,0,17,1,3,70,5,92,38,1,0
15,4,97,105,105,0,15,90,90,0,0,12,16,4,93,89,4869,0,0,925,0,2,44,42,0,2,18,2,1,50,6,5,44,1,0
16,7,54,61,120,59,15,46,105,0,0,14,18,4,47,102,6283,0,0,1191,0,2,51,53,0,2,18,4,0,0,6,73,51,1,0
17,4,108,118,132,14,15,103,117,0,0,14,20,6,104,112,7233,0,0,1428,0,2,57,57,0,4,20,5,2,50,6,152,57,1,0
18,9,109,121,135,14,17,104,118,0,0,21,25,4,100,110,8917,0,0,1035,0,2,63,66,0,1,23,3,3,80,7,64,63,1,0
19,12,129,138,142,4,17,121,125,0,0,21,27,6,117,115,10435,0,0,2402,0,2,70,76,0,2,27,6,4,82,7,171,70,1,0
20,0,136,147,147,0,19,128,128,0,12,23,36,13,124,111,12384,0,0,3411,0,2,67,73,0,3,31,8,4,95,8,213,67,1,0
21,0,78,92,178,86,21,71,157,0,13,27,38,11,65,140,13878,0,0,4590,1,1,78,76,1,7,35,14,4,130,9,72,78,2,0
