round,love_start,love_end,income_actual,income_potential,income_lost_to_damage,base_income,building_income_actual,building_income_potential,painter_income,story_income,upkeep_actual,upkeep_potential,upkeep_unpaid_from_deaths,net_actual,net_potential,dmg_dealt,dmg_dealt_lightning,lightning_hits,dmg_taken_buildings,lives_lost,lives_end,enemies_spawned,kills,leaks,kidnaps,buildings_built,buildings_dead_at_payday,buildings_placed,love_spent_buildings,village_level,player_xp,wave_size,enemy_tier,cheated
0,15,20,5,10,5,5,0,5,0,0,0,0,0,5,10,0,0,0,120,0,3,1,0,0,1,1,1,1,10,1,2,1,0,0
1,0,15,15,15,0,5,10,10,0,0,0,0,0,15,15,56,0,0,10,0,3,1,1,0,0,3,0,2,20,1,3,1,0,0
2,3,22,19,19,0,5,14,14,0,0,0,0,0,19,19,168,0,0,40,0,3,3,3,0,0,3,0,0,0,1,6,3,0,0
3,0,14,14,23,9,5,9,18,0,0,0,0,0,14,23,252,0,0,140,1,2,5,3,1,1,4,1,1,10,1,12,5,0,0
4,4,27,23,23,0,5,18,18,0,0,0,0,0,23,23,392,0,0,10,0,2,7,7,0,0,5,0,1,10,1,19,7,0,0
5,7,30,23,23,0,5,18,18,0,0,0,0,0,23,23,672,0,0,60,0,2,10,10,0,0,5,0,0,0,1,29,10,0,0
6,0,31,31,31,0,5,26,26,0,0,0,0,0,31,31,861,0,0,70,0,2,13,13,0,0,6,0,1,10,1,42,13,0,0
7,1,34,33,33,0,7,26,26,0,0,0,0,0,33,33,1113,0,0,163,0,2,16,16,0,0,7,0,1,10,2,8,16,0,0
8,4,37,33,33,0,7,26,26,0,0,0,0,0,33,33,1169,0,0,186,0,2,19,19,0,0,9,0,2,20,2,27,19,0,0
9,2,35,33,33,0,7,26,26,0,0,0,3,3,33,30,1461,0,0,280,0,2,22,21,0,1,10,1,1,35,2,50,22,0,0
10,0,9,9,35,26,9,0,26,0,0,0,3,3,9,32,2229,0,0,2034,1,1,21,20,1,1,10,10,0,20,3,163,21,0,0
11,9,43,37,37,0,11,26,26,0,0,3,3,0,34,34,2041,0,0,400,0,1,22,20,0,2,10,2,0,0,4,100,22,1,0
12,7,43,39,39,0,13,26,26,0,0,3,3,0,36,36,2528,0,0,911,0,1,27,24,0,3,11,3,1,25,5,18,27,1,0
