round,love_start,love_end,income_actual,income_potential,income_lost_to_damage,base_income,building_income_actual,building_income_potential,painter_income,story_income,upkeep_actual,upkeep_potential,upkeep_unpaid_from_deaths,net_actual,net_potential,dmg_dealt,dmg_dealt_lightning,lightning_hits,dmg_taken_buildings,lives_lost,lives_end,enemies_spawned,kills,leaks,kidnaps,buildings_built,buildings_dead_at_payday,buildings_placed,love_spent_buildings,village_level,player_xp,wave_size,enemy_tier,cheated
0,15,20,5,10,5,5,0,5,0,0,0,0,0,5,10,0,0,0,120,0,3,1,0,0,1,1,1,1,10,1,2,1,0,0
1,10,20,10,10,0,5,5,5,0,0,0,0,0,10,10,56,0,0,10,0,3,1,1,0,0,2,0,1,10,1,3,1,0,0
2,10,25,15,15,0,5,10,10,0,0,0,0,0,15,15,168,0,0,50,0,3,3,3,0,0,3,0,1,10,1,6,3,0,0
3,8,23,15,15,0,5,10,10,0,0,0,0,0,15,15,280,0,0,60,0,3,5,5,0,0,4,0,1,10,1,11,5,0,0
4,6,26,20,20,0,5,15,15,0,0,0,0,0,20,20,336,0,0,130,0,3,7,6,0,1,5,1,1,10,1,19,7,0,0
5,6,26,20,20,0,5,15,15,0,0,0,0,0,20,20,560,0,0,80,0,3,10,10,0,0,7,0,2,20,1,29,10,0,0
6,6,26,20,20,0,5,15,15,0,0,0,0,0,20,20,728,0,0,150,0,3,13,13,0,0,9,0,2,20,1,42,13,0,0
7,1,36,35,35,0,7,28,28,0,0,0,0,0,35,35,896,0,0,200,0,3,16,16,0,0,11,0,2,20,2,8,16,0,0
8,0,47,47,47,0,7,40,40,0,0,0,0,0,47,47,1008,0,0,181,0,3,19,18,0,1,12,1,1,10,2,28,19,0,0
9,7,67,60,60,0,7,53,53,0,0,0,0,0,60,60,1204,0,0,302,0,3,22,20,0,2,14,2,2,20,2,51,22,0,0
10,2,11,9,62,53,9,0,53,0,0,0,5,5,9,57,2542,0,0,2699,1,2,21,17,1,4,15,15,1,35,3,168,21,0,0
11,0,54,59,68,9,11,48,57,0,0,5,5,0,54,63,1901,0,0,501,0,2,22,19,0,3,15,3,0,20,4,105,22,1,0
12,0,45,52,70,18,13,39,57,0,0,7,7,0,45,63,2093,0,0,625,1,1,27,19,1,3,15,3,0,50,5,18,27,1,0
13,5,66,70,70,0,13,57,57,0,0,9,9,0,61,61,2793,0,0,556,0,1,32,30,0,2,15,2,0,0,5,50,32,1,0
14,5,48,52,70,18,13,39,57,0,0,9,9,0,43,61,3614,0,0,1473,0,1,38,32,0,6,17,6,2,50,5,93,38,1,0
