round,love_start,love_end,income_actual,income_potential,income_lost_to_damage,base_income,building_income_actual,building_income_potential,painter_income,story_income,upkeep_actual,upkeep_potential,upkeep_unpaid_from_deaths,net_actual,net_potential,dmg_dealt,dmg_dealt_lightning,lightning_hits,dmg_taken_buildings,lives_lost,lives_end,enemies_spawned,kills,leaks,kidnaps,buildings_built,buildings_dead_at_payday,buildings_placed,love_spent_buildings,village_level,player_xp,wave_size,enemy_tier,cheated
1,0,14,14,14,0,5,9,9,0,0,0,0,0,14,14,56,0,0,0,0,3,1,1,0,0,2,0,2,20,1,1,1,0,0
2,4,23,19,19,0,5,14,14,0,0,0,0,0,19,19,168,0,0,50,0,3,3,3,0,0,3,0,1,10,1,4,3,0,0
3,1,24,23,23,0,5,18,18,0,0,0,0,0,23,23,280,0,0,90,0,3,5,5,0,0,4,0,1,10,1,9,5,0,0
4,7,30,23,23,0,5,18,18,0,0,0,0,0,23,23,392,0,0,40,0,3,7,7,0,0,5,0,1,10,1,16,7,0,0
5,0,31,31,31,0,5,26,26,0,0,0,0,0,31,31,560,0,0,31,0,3,10,10,0,0,6,0,1,10,1,26,10,0,0
6,0,36,36,36,0,5,31,31,0,0,0,0,0,36,36,728,0,0,93,0,3,13,13,0,0,8,0,2,20,1,39,13,0,0
7,0,47,47,47,0,7,40,40,0,0,0,0,0,47,47,896,0,0,92,0,3,16,16,0,0,9,0,1,10,2,5,16,0,0
8,1,31,33,47,14,7,26,40,0,0,3,3,0,30,44,1176,0,0,210,0,3,19,18,0,1,10,1,1,35,2,25,19,0,0
9,1,45,47,47,0,7,40,40,0,0,3,3,0,44,44,1336,0,0,180,0,3,22,22,0,0,11,0,1,10,2,47,22,0,0
10,0,24,27,59,32,9,18,50,0,0,3,3,0,24,56,1586,0,0,1510,1,2,21,15,1,2,14,8,3,30,3,7,21,0,0
11,4,71,67,67,0,9,58,58,0,0,0,3,3,67,64,1969,0,0,558,0,2,22,20,0,2,14,2,0,0,3,31,22,1,0
12,6,72,71,71,0,9,62,62,0,0,5,8,3,66,63,2669,0,0,551,0,2,27,25,0,2,15,2,1,35,3,58,27,1,0
13,2,56,59,73,14,11,48,62,0,0,5,10,5,54,63,3132,0,0,808,0,2,32,28,0,4,15,4,0,0,4,5,32,1,0
14,9,67,63,77,14,11,52,66,0,0,5,10,5,58,67,3851,0,0,974,0,2,38,34,0,4,16,5,1,12,4,47,38,1,0
15,2,60,68,81,13,11,57,70,0,0,10,10,0,58,71,4407,0,0,1258,0,2,44,40,0,4,21,5,5,50,4,101,44,1,0
16,0,71,81,84,3,13,68,71,0,0,10,10,0,71,74,6104,0,0,1582,0,2,51,54,0,1,21,5,0,0,5,59,51,1,0
17,1,35,47,87,40,13,34,74,0,0,13,13,0,34,74,4607,144,12,1557,1,1,57,38,1,6,22,8,1,25,5,116,57,1,0
