round,love_start,love_end,income_actual,income_potential,income_lost_to_damage,base_income,building_income_actual,building_income_potential,painter_income,story_income,upkeep_actual,upkeep_potential,upkeep_unpaid_from_deaths,net_actual,net_potential,dmg_dealt,dmg_dealt_lightning,lightning_hits,dmg_taken_buildings,lives_lost,lives_end,enemies_spawned,kills,leaks,kidnaps,buildings_built,buildings_dead_at_payday,buildings_placed,love_spent_buildings,village_level,player_xp,wave_size,enemy_tier,cheated
1,5,10,5,5,0,5,0,0,0,0,0,0,0,5,5,56,0,0,10,0,3,1,1,0,0,2,0,2,20,1,1,1,0,0
2,0,5,5,5,0,5,0,0,0,0,0,0,0,5,5,168,0,0,30,0,3,3,3,0,0,3,0,1,10,1,4,3,0,0
3,5,10,5,5,0,5,0,0,0,0,0,0,0,5,5,280,0,0,50,0,3,5,5,0,0,3,0,0,0,1,9,5,0,0
4,3,8,5,5,0,5,0,0,0,0,0,0,0,5,5,392,0,0,70,0,3,7,7,0,0,3,0,0,0,1,16,7,0,0
5,8,13,5,5,0,5,0,0,0,0,0,0,0,5,5,560,0,0,150,0,3,10,10,0,0,3,0,0,0,1,26,10,0,0
6,3,8,5,5,0,5,0,0,0,0,0,0,0,5,5,728,0,0,80,0,3,13,13,0,0,4,0,1,10,1,39,13,0,0
7,8,15,7,7,0,7,0,0,0,0,0,0,0,7,7,896,0,0,120,0,3,16,16,0,0,4,0,0,0,2,5,16,0,0
8,5,12,7,12,5,7,0,5,0,0,0,0,0,7,12,1008,0,0,212,0,3,19,18,0,1,5,1,1,10,2,25,19,0,0
9,2,9,7,17,10,7,0,10,0,0,0,0,0,7,17,1120,0,0,302,0,3,22,20,0,2,6,2,1,10,2,48,22,0,0
10,9,16,7,17,10,7,0,10,0,0,0,0,0,7,17,560,0,0,812,1,2,21,5,1,3,6,5,0,0,2,60,21,0,0
11,6,15,9,19,10,9,0,10,0,0,0,0,0,9,19,913,0,0,452,1,1,22,8,1,3,7,3,1,10,3,7,22,1,0
