round,love_start,love_end,income_actual,income_potential,income_lost_to_damage,base_income,building_income_actual,building_income_potential,painter_income,story_income,upkeep_actual,upkeep_potential,upkeep_unpaid_from_deaths,net_actual,net_potential,dmg_dealt,dmg_dealt_lightning,lightning_hits,dmg_taken_buildings,lives_lost,lives_end,enemies_spawned,kills,leaks,kidnaps,buildings_built,buildings_dead_at_payday,buildings_placed,love_spent_buildings,village_level,player_xp,wave_size,enemy_tier,cheated
0,15,20,5,10,5,5,0,5,0,0,0,0,0,5,10,0,0,0,120,0,3,1,0,0,1,1,1,1,10,1,2,1,0,0
1,0,15,15,15,0,5,10,10,0,0,0,0,0,15,15,56,0,0,10,0,3,1,1,0,0,3,0,2,20,1,3,1,0,0
2,15,30,15,15,0,5,10,10,0,0,0,0,0,15,15,168,0,0,30,0,3,3,3,0,0,3,0,0,0,1,6,3,0,0
3,6,21,15,15,0,5,10,10,0,0,0,0,0,15,15,280,0,0,70,0,3,5,5,0,0,4,0,1,10,1,11,5,0,0
4,1,21,20,20,0,5,15,15,0,0,0,0,0,20,20,392,0,0,21,0,3,7,7,0,0,6,0,2,20,1,18,7,0,0
5,1,26,25,25,0,5,20,20,0,0,0,0,0,25,25,630,0,0,41,0,3,10,10,0,0,7,0,1,10,1,28,10,0,0
6,6,47,41,41,0,5,36,36,0,0,0,0,0,41,41,784,0,0,20,0,3,13,13,0,0,7,0,0,0,1,41,13,0,0
7,7,68,61,61,0,7,54,54,0,0,0,0,0,61,61,1078,0,0,233,0,3,16,16,0,0,9,0,2,20,2,7,16,0,0
8,2,47,48,66,18,7,41,59,0,0,3,3,0,45,63,1141,0,0,434,0,3,19,17,0,2,11,2,2,35,2,28,19,0,0
9,7,69,65,82,17,7,58,75,0,0,3,3,0,62,79,1330,48,4,453,0,3,22,20,0,2,12,2,1,10,2,52,22,0,0
10,4,13,9,88,79,9,0,79,0,0,0,3,3,9,85,1876,12,1,2901,1,2,21,19,1,2,13,13,1,10,3,166,21,0,0
11,3,60,60,90,30,11,49,79,0,0,3,3,0,57,87,1498,60,5,597,1,1,22,16,1,3,14,3,1,10,4,101,22,1,0
