round,love_start,love_end,income_actual,income_potential,income_lost_to_damage,base_income,building_income_actual,building_income_potential,painter_income,story_income,upkeep_actual,upkeep_potential,upkeep_unpaid_from_deaths,net_actual,net_potential,dmg_dealt,dmg_dealt_lightning,lightning_hits,dmg_taken_buildings,lives_lost,lives_end,enemies_spawned,kills,leaks,kidnaps,buildings_built,buildings_dead_at_payday,buildings_placed,love_spent_buildings,village_level,player_xp,wave_size,enemy_tier,cheated
1,0,14,14,14,0,5,9,9,0,0,0,0,0,14,14,56,0,0,10,0,3,1,1,0,0,2,0,2,20,1,1,1,0,0
2,4,23,19,19,0,5,14,14,0,0,0,0,0,19,19,168,0,0,50,0,3,3,3,0,0,3,0,1,10,1,4,3,0,0
3,1,24,23,23,0,5,18,18,0,0,0,0,0,23,23,280,0,0,50,0,3,5,5,0,0,4,0,1,10,1,9,5,0,0
4,4,32,28,28,0,5,23,23,0,0,0,0,0,28,28,392,0,0,100,0,3,7,7,0,0,6,0,2,20,1,16,7,0,0
5,0,32,32,32,0,5,27,27,0,0,0,0,0,32,32,560,0,0,130,0,3,10,10,0,0,8,0,2,20,1,26,10,0,0
6,2,34,32,32,0,5,27,27,0,0,0,0,0,32,32,777,0,0,160,0,3,13,12,0,1,9,1,1,10,1,40,13,0,0
7,9,52,43,43,0,7,36,36,0,0,0,0,0,43,43,1015,0,0,170,0,3,16,15,0,1,11,1,2,20,2,6,16,0,0
8,1,49,48,48,0,7,41,41,0,0,0,0,0,48,48,1106,0,0,170,0,3,19,18,0,1,15,1,4,40,2,26,19,0,0
9,3,51,48,48,0,7,41,41,0,0,0,0,0,48,48,1358,0,0,210,0,3,22,22,0,0,16,0,1,10,2,48,22,0,0
10,6,60,54,63,9,9,45,54,0,0,0,0,0,54,63,2926,0,0,1096,0,3,21,21,0,1,17,5,1,10,3,159,21,0,0
11,5,65,65,65,0,11,54,54,0,0,5,5,0,60,60,1897,0,0,156,0,3,22,22,0,0,18,0,1,35,4,96,22,1,0
12,9,62,58,72,14,13,45,59,0,0,5,5,0,53,67,2562,0,0,220,0,3,27,26,0,1,19,1,1,10,5,13,27,1,0
13,2,66,72,72,0,13,59,59,0,0,8,8,0,64,64,3042,108,9,164,0,3,32,32,0,0,20,0,1,25,5,45,32,1,0
14,1,64,76,76,0,13,63,63,0,0,13,13,0,63,63,3758,48,4,314,0,3,38,37,0,1,21,1,1,35,5,87,38,1,0
15,0,38,55,78,23,15,40,63,0,0,17,17,0,38,61,4388,96,8,884,0,3,44,41,0,3,21,4,0,30,6,1,44,1,0
16,8,60,69,78,9,15,54,63,0,0,17,17,0,52,61,5853,84,7,870,0,3,51,52,0,3,24,4,3,30,6,68,51,1,0
17,0,36,55,78,23,15,40,63,0,0,19,19,0,36,59,6948,84,7,1068,0,3,57,57,0,4,24,6,0,0,6,148,57,1,0
18,0,38,57,80,23,17,40,63,0,0,19,19,0,38,61,7634,108,9,1564,0,3,63,63,0,4,24,8,0,20,7,61,63,1,0
19,4,42,57,80,23,17,40,63,0,0,19,25,6,38,55,9360,132,11,1460,0,3,70,74,0,4,25,6,1,12,7,164,70,1,0
20,0,50,64,82,18,19,45,63,0,8,22,28,6,42,54,10884,36,3,2832,0,3,67,73,0,3,26,9,1,75,8,203,67,1,0
21,0,14,34,84,50,21,13,63,0,6,26,32,6,8,52,11632,156,13,2710,1,2,78,66,1,7,26,12,0,0,9,43,78,2,0
22,2,32,53,84,31,21,32,63,0,9,32,35,3,21,49,5703,132,11,1840,1,1,86,29,1,5,27,8,1,12,9,100,86,2,0
