round,love_start,love_end,income_actual,income_potential,income_lost_to_damage,base_income,building_income_actual,building_income_potential,painter_income,story_income,upkeep_actual,upkeep_potential,upkeep_unpaid_from_deaths,net_actual,net_potential,dmg_dealt,dmg_dealt_lightning,lightning_hits,dmg_taken_buildings,lives_lost,lives_end,enemies_spawned,kills,leaks,kidnaps,buildings_built,buildings_dead_at_payday,buildings_placed,love_spent_buildings,village_level,player_xp,wave_size,enemy_tier,cheated
0,15,20,5,10,5,5,0,5,0,0,0,0,0,5,10,0,0,0,120,0,3,1,0,0,1,1,1,1,10,1,2,1,0,0
1,0,10,10,10,0,5,5,5,0,0,0,0,0,10,10,56,0,0,10,0,3,1,1,0,0,3,0,2,20,1,3,1,0,0
2,3,13,10,10,0,5,5,5,0,0,0,0,0,10,10,168,0,0,70,0,3,3,3,0,0,3,0,0,0,1,6,3,0,0
3,3,13,10,15,5,5,5,10,0,0,0,0,0,10,15,196,0,0,240,0,3,5,3,0,2,4,2,1,10,1,13,5,0,0
4,3,13,10,15,5,5,5,10,0,0,0,0,0,10,15,336,0,0,140,0,3,7,6,0,1,5,1,1,10,1,20,7,0,0
5,3,18,15,15,0,5,10,10,0,0,0,0,0,15,15,560,0,0,140,0,3,10,10,0,0,6,0,1,10,1,30,10,0,0
6,8,23,15,15,0,5,10,10,0,0,0,0,0,15,15,763,0,0,180,0,3,13,13,0,0,6,0,0,0,1,43,13,0,0
7,3,32,29,29,0,7,22,22,0,0,0,0,0,29,29,945,0,0,290,0,3,16,15,0,1,6,1,0,0,2,10,16,0,0
8,5,30,25,34,9,7,18,27,0,0,0,0,0,25,34,1134,0,0,210,0,3,19,18,0,1,8,1,2,20,2,29,19,0,0
9,5,34,29,38,9,7,22,31,0,0,0,0,0,29,38,1225,0,0,350,0,3,22,20,0,2,10,2,2,20,2,52,22,0,0
10,0,9,9,48,39,9,0,39,0,0,0,0,0,9,48,2072,0,0,1750,1,2,21,19,1,2,10,10,0,20,3,163,21,0,0
11,9,33,24,50,26,11,13,39,0,0,0,0,0,24,50,1507,0,0,632,1,1,22,14,1,4,10,4,0,0,4,97,22,1,0
12,0,37,39,52,13,13,26,39,0,0,2,2,0,37,50,2722,0,0,396,0,1,27,25,0,2,11,2,1,50,5,14,27,1,0
13,2,36,39,52,13,13,26,39,0,0,5,5,0,34,47,2890,0,0,616,0,1,32,29,0,3,12,3,1,35,5,46,32,1,0
14,5,37,39,52,13,13,26,39,0,0,7,7,0,32,45,3742,0,0,658,0,1,38,35,0,3,13,3,1,20,5,88,38,1,0
15,17,64,54,54,0,15,39,39,0,0,7,9,2,47,45,4851,0,0,994,0,1,44,40,0,4,14,4,1,20,6,1,44,1,0
