round,love_start,love_end,income_actual,income_potential,income_lost_to_damage,base_income,building_income_actual,building_income_potential,painter_income,story_income,upkeep_actual,upkeep_potential,upkeep_unpaid_from_deaths,net_actual,net_potential,dmg_dealt,dmg_dealt_lightning,lightning_hits,dmg_taken_buildings,lives_lost,lives_end,enemies_spawned,kills,leaks,kidnaps,buildings_built,buildings_dead_at_payday,buildings_placed,love_spent_buildings,village_level,player_xp,wave_size,enemy_tier,cheated
1,5,15,10,10,0,5,5,5,0,0,0,0,0,10,10,56,0,0,10,0,3,1,1,0,0,2,0,2,20,1,1,1,0,0
2,0,19,19,19,0,5,14,14,0,0,0,0,0,19,19,168,0,0,60,0,3,3,3,0,0,3,0,1,10,1,4,3,0,0
3,2,21,19,19,0,5,14,14,0,0,0,0,0,19,19,280,0,0,0,0,3,5,5,0,0,4,0,1,10,1,9,5,0,0
4,4,23,19,19,0,5,14,14,0,0,0,0,0,19,19,392,0,0,10,0,3,7,7,0,0,5,0,1,10,1,16,7,0,0
5,3,27,24,24,0,5,19,19,0,0,0,0,0,24,24,504,0,0,120,0,3,10,9,0,1,7,1,2,20,1,27,10,0,0
6,2,38,36,36,0,5,31,31,0,0,0,0,0,36,36,728,0,0,80,0,3,13,13,0,0,7,0,0,0,1,40,13,0,0
7,3,49,46,46,0,7,39,39,0,0,0,0,0,46,46,1022,0,0,160,0,3,16,15,0,1,7,1,0,0,2,6,16,0,0
8,3,49,46,46,0,7,39,39,0,0,0,3,3,46,43,1158,0,0,320,0,3,19,17,0,2,8,2,1,35,2,26,19,0,0
9,3,59,56,56,0,7,49,49,0,0,0,3,3,56,53,1481,0,0,380,0,3,22,21,0,1,10,1,2,20,2,48,22,0,0
10,9,44,35,74,39,9,26,65,0,0,0,5,5,35,69,1560,0,0,1326,1,2,21,16,1,3,10,7,0,0,3,8,21,0,0
11,9,83,74,74,0,9,65,65,0,0,0,5,5,74,69,1856,0,0,516,0,2,22,21,0,1,11,2,1,10,3,30,22,1,0
12,3,70,74,74,0,9,65,65,0,0,7,7,0,67,67,2392,0,0,528,0,2,27,26,0,1,12,1,1,10,3,57,27,1,0
13,0,69,76,76,0,11,65,65,0,0,7,7,0,69,69,2674,0,0,456,0,2,32,31,0,1,13,1,1,30,4,4,32,1,0
14,4,56,59,85,26,11,48,74,0,0,7,11,4,52,74,4151,0,0,1020,1,1,38,34,1,3,14,4,1,30,4,47,38,1,0
15,15,102,89,89,0,11,78,78,0,0,2,13,11,87,76,4922,0,0,1178,0,1,44,41,0,3,15,4,1,20,4,100,44,1,0
16,13,75,78,91,13,13,65,78,0,0,16,18,2,62,73,6840,0,0,1094,0,1,51,53,0,2,17,3,2,55,5,58,51,1,0
17,3,62,78,96,18,13,65,83,0,0,19,25,6,59,71,7600,0,0,1196,0,1,57,59,0,2,19,4,2,22,5,136,57,1,0
18,0,77,98,98,0,15,83,83,0,0,21,30,9,77,68,8185,0,0,1069,0,1,63,64,0,3,21,3,2,32,6,83,63,1,0
