round,love_start,love_end,income_actual,income_potential,income_lost_to_damage,base_income,building_income_actual,building_income_potential,painter_income,story_income,upkeep_actual,upkeep_potential,upkeep_unpaid_from_deaths,net_actual,net_potential,dmg_dealt,dmg_dealt_lightning,lightning_hits,dmg_taken_buildings,lives_lost,lives_end,enemies_spawned,kills,leaks,kidnaps,buildings_built,buildings_dead_at_payday,buildings_placed,love_spent_buildings,village_level,player_xp,wave_size,enemy_tier,cheated
1,5,15,10,10,0,5,5,5,0,0,0,0,0,10,10,56,0,0,0,0,3,1,1,0,0,2,0,2,20,1,1,1,0,0
2,8,18,10,10,0,5,5,5,0,0,0,0,0,10,10,168,0,0,0,0,3,3,3,0,0,2,0,0,0,1,4,3,0,0
3,3,17,14,14,0,5,9,9,0,0,0,0,0,14,14,280,0,0,50,0,3,5,5,0,0,3,0,1,10,1,9,5,0,0
4,2,16,14,23,9,5,9,18,0,0,0,0,0,14,23,336,0,0,150,0,3,7,6,0,1,4,1,1,10,1,17,7,0,0
5,6,29,23,23,0,5,18,18,0,0,0,0,0,23,23,576,0,0,100,0,3,10,10,0,0,5,0,1,10,1,27,10,0,0
6,9,32,23,23,0,5,18,18,0,0,0,0,0,23,23,819,0,0,150,0,3,13,13,0,0,5,0,0,0,1,40,13,0,0
7,1,17,16,30,14,7,9,23,0,0,0,0,0,16,30,905,0,0,430,0,3,16,14,0,2,7,2,2,20,2,7,16,0,0
8,2,18,16,34,18,7,9,27,0,0,0,0,0,16,34,1177,0,0,420,0,3,19,18,0,1,8,2,1,10,2,26,19,0,0
9,8,33,25,34,9,7,18,27,0,0,0,0,0,25,34,1374,0,0,520,0,3,22,20,0,2,8,2,0,0,2,49,22,0,0
10,2,11,9,36,27,9,0,27,0,0,0,0,0,9,36,2052,0,0,1754,1,2,21,21,1,0,10,10,2,20,3,162,21,0,0
11,1,39,38,43,5,11,27,32,0,0,0,0,0,38,43,1113,0,0,252,1,1,22,11,1,0,11,2,1,10,4,90,22,1,0
