round,love_start,love_end,income_actual,income_potential,income_lost_to_damage,base_income,building_income_actual,building_income_potential,painter_income,story_income,upkeep_actual,upkeep_potential,upkeep_unpaid_from_deaths,net_actual,net_potential,dmg_dealt,dmg_dealt_lightning,lightning_hits,dmg_taken_buildings,lives_lost,lives_end,enemies_spawned,kills,leaks,kidnaps,buildings_built,buildings_dead_at_payday,buildings_placed,love_spent_buildings,village_level,player_xp,wave_size,enemy_tier,cheated
1,5,15,10,15,5,5,5,10,0,0,0,0,0,10,15,0,0,0,120,0,3,1,0,0,1,2,1,2,20,1,2,1,0,0
2,5,20,15,15,0,5,10,10,0,0,0,0,0,15,15,168,0,0,51,0,3,3,3,0,0,3,0,1,10,1,5,3,0,0
3,3,23,20,20,0,5,15,15,0,0,0,0,0,20,20,280,0,0,103,0,3,5,5,0,0,4,0,1,10,1,10,5,0,0
4,3,28,25,25,0,5,20,20,0,0,0,0,0,25,25,392,0,0,44,0,3,7,7,0,0,6,0,2,20,1,17,7,0,0
5,7,32,25,30,5,5,20,25,0,0,0,0,0,25,30,364,0,0,141,1,2,10,6,1,1,7,1,1,10,1,25,10,0,0
6,2,37,35,40,5,5,30,35,0,0,0,0,0,35,40,728,0,0,231,0,2,13,12,0,1,10,1,3,30,1,38,13,0,0
7,0,47,47,47,0,7,40,40,0,0,0,0,0,47,47,896,0,0,233,0,2,16,16,0,0,12,0,2,20,2,4,16,0,0
8,2,52,50,60,10,7,43,53,0,0,0,0,0,50,60,952,0,0,768,0,2,19,17,0,2,14,2,2,35,2,25,19,0,0
9,6,61,55,60,5,7,48,53,0,0,0,0,0,55,60,1148,0,0,780,0,2,22,20,0,2,16,2,2,35,2,48,22,0,0
10,1,10,9,67,58,9,0,58,0,0,0,0,0,9,67,2814,0,0,4024,1,1,21,20,1,1,18,18,2,20,3,168,21,0,0
