round,love_start,love_end,income_actual,income_potential,income_lost_to_damage,base_income,building_income_actual,building_income_potential,painter_income,story_income,upkeep_actual,upkeep_potential,upkeep_unpaid_from_deaths,net_actual,net_potential,dmg_dealt,dmg_dealt_lightning,lightning_hits,dmg_taken_buildings,lives_lost,lives_end,enemies_spawned,kills,leaks,kidnaps,buildings_built,buildings_dead_at_payday,buildings_placed,love_spent_buildings,village_level,player_xp,wave_size,enemy_tier,cheated
0,15,20,5,10,5,5,0,5,0,0,0,0,0,5,10,0,0,0,120,0,3,1,0,0,1,1,1,1,10,1,2,1,0,0
1,5,19,14,14,0,5,9,9,0,0,0,0,0,14,14,56,0,0,0,0,3,1,1,0,0,2,0,1,10,1,3,1,0,0
2,2,21,19,19,0,5,14,14,0,0,0,0,0,19,19,168,0,0,77,0,3,3,3,0,0,3,0,1,10,1,6,3,0,0
3,6,29,23,23,0,5,18,18,0,0,0,0,0,23,23,350,0,0,88,0,3,5,5,0,0,3,0,0,0,1,11,5,0,0
4,2,25,23,23,0,5,18,18,0,0,0,0,0,23,23,434,0,0,88,0,3,7,7,0,0,5,0,2,20,1,18,7,0,0
5,0,23,23,32,9,5,18,27,0,0,0,0,0,23,32,588,0,0,206,0,3,10,9,0,1,6,1,1,10,1,29,10,0,0
6,3,40,37,37,0,5,32,32,0,0,0,0,0,37,37,777,0,0,132,0,3,13,13,0,0,7,0,1,10,1,42,13,0,0
7,0,44,44,53,9,7,37,46,0,0,0,0,0,44,53,966,0,0,465,0,3,16,14,0,2,10,3,3,30,2,10,16,0,0
8,3,41,39,57,18,7,32,50,0,0,1,1,0,38,56,1176,84,7,499,0,3,19,16,0,3,11,3,1,25,2,30,19,0,0
9,1,37,39,65,26,7,32,58,0,0,3,3,0,36,62,1330,144,12,549,0,3,22,19,0,3,11,3,0,0,2,52,22,0,0
10,7,16,9,67,58,9,0,58,0,0,0,5,5,9,62,1855,24,2,2155,1,2,21,17,1,3,11,11,0,0,3,163,21,0,0
11,5,34,34,69,35,11,23,58,0,0,5,5,0,29,64,1051,72,6,766,1,1,22,11,1,4,11,5,0,0,4,94,22,1,0
