round,love_start,love_end,income_actual,income_potential,income_lost_to_damage,base_income,building_income_actual,building_income_potential,painter_income,story_income,upkeep_actual,upkeep_potential,upkeep_unpaid_from_deaths,net_actual,net_potential,dmg_dealt,dmg_dealt_lightning,lightning_hits,dmg_taken_buildings,lives_lost,lives_end,enemies_spawned,kills,leaks,kidnaps,buildings_built,buildings_dead_at_payday,buildings_placed,love_spent_buildings,village_level,player_xp,wave_size,enemy_tier,cheated
1,5,15,10,10,0,5,5,5,0,0,0,0,0,10,10,56,0,0,10,0,3,1,1,0,0,2,0,2,20,1,1,1,0,0
2,3,17,14,14,0,5,9,9,0,0,0,0,0,14,14,168,0,0,20,0,3,3,3,0,0,2,0,0,0,1,4,3,0,0
3,7,21,14,14,0,5,9,9,0,0,0,0,0,14,14,280,0,0,40,0,3,5,5,0,0,3,0,1,10,1,9,5,0,0
4,1,20,19,19,0,5,14,14,0,0,0,0,0,19,19,392,0,0,100,0,3,7,7,0,0,5,0,2,20,1,16,7,0,0
5,8,31,23,23,0,5,18,18,0,0,0,0,0,23,23,560,0,0,131,0,3,10,10,0,0,5,0,0,0,1,26,10,0,0
6,1,24,23,23,0,5,18,18,0,0,0,0,0,23,23,861,0,0,60,0,3,13,13,0,0,6,0,1,10,1,39,13,0,0
7,4,34,30,30,0,7,23,23,0,0,0,0,0,30,30,1120,0,0,60,0,3,16,16,0,0,8,0,2,20,2,5,16,0,0
8,9,38,30,30,0,7,23,23,0,0,1,1,0,29,29,1274,36,3,162,0,3,19,19,0,0,9,0,1,25,2,24,19,0,0
9,2,40,39,44,5,7,32,37,0,0,1,1,0,38,43,1288,144,12,200,0,3,22,21,0,1,11,1,2,20,2,47,22,0,0
10,0,32,32,46,14,9,23,37,0,0,0,1,1,32,45,2940,24,2,1316,0,3,21,21,0,1,12,7,1,30,3,160,21,0,0
11,2,42,43,48,5,11,32,37,0,0,3,3,0,40,45,1874,120,10,248,0,3,22,20,0,2,12,2,0,20,4,97,22,1,0
12,0,43,49,54,5,13,36,41,0,0,6,6,0,43,48,2455,48,4,293,0,3,27,25,0,2,13,2,1,65,5,14,27,1,0
13,2,52,58,58,0,13,45,45,0,0,8,8,0,50,50,3179,48,4,128,0,3,32,32,0,0,14,0,1,20,5,46,32,1,0
14,2,52,58,67,9,13,45,54,0,0,8,8,0,50,59,4220,108,9,370,0,3,38,37,0,1,14,1,0,30,5,88,38,1,0
15,1,51,60,69,9,15,45,54,0,0,10,12,2,50,57,4653,36,3,840,0,3,44,41,0,3,16,3,2,40,6,1,44,1,0
16,7,50,60,69,9,15,45,54,0,0,17,20,3,43,49,6950,144,12,626,0,3,51,54,0,1,18,3,2,44,6,69,51,1,0
17,0,12,28,78,50,15,13,63,0,0,16,20,4,12,58,6936,60,5,1544,1,2,57,50,1,7,18,8,0,0,6,144,57,1,0
18,0,54,71,80,9,17,54,63,0,0,17,23,6,54,57,8566,156,13,1151,0,2,63,64,0,3,19,3,1,12,7,57,63,1,0
19,4,49,58,80,22,17,41,63,0,0,13,23,10,45,57,8295,228,19,2396,1,1,70,62,1,6,21,9,2,50,7,146,70,1,0
20,0,62,73,82,9,19,54,63,0,2,13,23,10,60,59,11947,168,14,2900,0,1,67,70,0,6,21,8,0,0,8,187,67,1,0
