round,love_start,love_end,income_actual,income_potential,income_lost_to_damage,base_income,building_income_actual,building_income_potential,painter_income,story_income,upkeep_actual,upkeep_potential,upkeep_unpaid_from_deaths,net_actual,net_potential,dmg_dealt,dmg_dealt_lightning,lightning_hits,dmg_taken_buildings,lives_lost,lives_end,enemies_spawned,kills,leaks,kidnaps,buildings_built,buildings_dead_at_payday,buildings_placed,love_spent_buildings,village_level,player_xp,wave_size,enemy_tier,cheated
0,15,20,5,10,5,5,0,5,0,0,0,0,0,5,10,0,0,0,120,0,3,1,0,0,1,1,1,1,10,1,2,1,0,0
1,0,15,15,15,0,5,10,10,0,0,0,0,0,15,15,56,0,0,10,0,3,1,1,0,0,3,0,2,20,1,3,1,0,0
2,5,28,23,23,0,5,18,18,0,0,0,0,0,23,23,168,0,0,50,0,3,3,3,0,0,3,0,0,0,1,6,3,0,0
3,1,29,28,28,0,5,23,23,0,0,0,0,0,28,28,280,0,0,70,0,3,5,5,0,0,5,0,2,20,1,11,5,0,0
4,4,41,37,37,0,5,32,32,0,0,0,0,0,37,37,392,0,0,70,0,3,7,7,0,0,7,0,2,20,1,18,7,0,0
5,6,55,49,49,0,5,44,44,0,0,0,0,0,49,49,644,0,0,220,0,3,10,10,0,0,7,0,0,0,1,28,10,0,0
6,7,43,36,49,13,5,31,44,0,0,0,0,0,36,49,490,0,0,180,1,2,13,6,1,0,8,1,1,10,1,36,13,0,0
7,8,59,51,51,0,7,44,44,0,0,0,0,0,51,51,1162,0,0,100,0,2,16,16,0,0,9,0,1,10,2,2,16,0,0
8,4,68,64,73,9,7,57,66,0,0,0,0,0,64,73,1274,0,0,170,0,2,19,18,0,1,11,1,2,20,2,22,19,0,0
9,8,80,72,81,9,7,65,74,0,0,0,0,0,72,81,1505,0,0,150,0,2,22,21,0,1,11,1,0,0,2,44,22,0,0
10,0,9,9,88,79,9,0,79,0,0,0,0,0,9,88,2674,0,0,3238,1,1,21,20,1,1,14,14,3,50,3,161,21,0,0
11,9,85,76,90,14,11,65,79,0,0,0,0,0,76,90,1945,0,0,580,0,1,22,19,0,3,14,3,0,0,4,98,22,1,0
