round,love_start,love_end,income_actual,income_potential,income_lost_to_damage,base_income,building_income_actual,building_income_potential,painter_income,story_income,upkeep_actual,upkeep_potential,upkeep_unpaid_from_deaths,net_actual,net_potential,dmg_dealt,dmg_dealt_lightning,lightning_hits,dmg_taken_buildings,lives_lost,lives_end,enemies_spawned,kills,leaks,kidnaps,buildings_built,buildings_dead_at_payday,buildings_placed,love_spent_buildings,village_level,player_xp,wave_size,enemy_tier,cheated
1,0,14,14,14,0,5,9,9,0,0,0,0,0,14,14,56,0,0,0,0,3,1,1,0,0,2,0,2,20,1,0,1,0,0
2,0,14,14,14,0,5,9,9,0,0,0,0,0,14,14,168,0,0,0,0,3,3,3,0,0,2,0,0,0,1,0,3,0,0
3,4,18,14,14,0,5,9,9,0,0,0,0,0,14,14,280,0,0,50,0,3,5,5,0,0,3,0,1,10,1,0,5,0,0
4,8,22,14,14,0,5,9,9,0,0,0,0,0,14,14,392,0,0,10,0,3,7,7,0,0,4,0,1,10,1,0,7,0,0
5,1,15,14,14,0,5,9,9,0,0,0,0,0,14,14,560,0,0,0,0,3,10,10,0,0,5,0,1,10,1,0,10,0,0
6,0,23,23,23,0,5,18,18,0,0,0,0,0,23,23,728,0,0,60,0,3,13,13,0,0,6,0,1,10,1,0,13,0,0
7,3,28,25,25,0,7,18,18,0,0,0,0,0,25,25,861,0,0,150,0,3,16,15,0,1,7,1,1,10,2,0,16,0,0
8,6,28,25,25,0,7,18,18,0,0,3,3,0,22,22,1078,0,0,40,0,3,19,19,0,0,9,0,2,22,2,0,19,0,0
9,3,16,16,25,9,7,9,18,0,0,3,3,0,13,22,1092,0,0,260,1,2,22,18,1,2,10,2,1,10,2,0,22,0,0
10,6,21,18,27,9,9,9,18,0,0,3,3,0,15,24,742,0,0,630,1,1,26,6,1,1,10,3,0,0,3,0,26,0,0
11,1,25,27,27,0,9,18,18,0,0,3,3,0,24,24,1084,0,0,152,0,1,7,10,0,1,11,1,1,10,3,0,7,1,0
12,3,34,31,31,0,9,22,22,0,0,0,3,3,31,28,1694,0,0,636,0,1,9,15,0,2,12,3,1,12,3,0,9,1,0
