round,love_start,love_end,income_actual,income_potential,income_lost_to_damage,base_income,building_income_actual,building_income_potential,painter_income,story_income,upkeep_actual,upkeep_potential,upkeep_unpaid_from_deaths,net_actual,net_potential,dmg_dealt,dmg_dealt_lightning,lightning_hits,dmg_taken_buildings,lives_lost,lives_end,enemies_spawned,kills,leaks,kidnaps,buildings_built,buildings_dead_at_payday,buildings_placed,love_spent_buildings,village_level,player_xp,wave_size,enemy_tier,cheated
1,0,14,14,14,0,5,9,9,0,0,0,0,0,14,14,56,0,0,0,0,3,1,1,0,0,2,0,2,20,1,0,1,0,0
2,4,23,19,19,0,5,14,14,0,0,0,0,0,19,19,168,0,0,50,0,3,3,3,0,0,3,0,1,10,1,0,3,0,0
3,6,25,19,19,0,5,14,14,0,0,0,0,0,19,19,280,0,0,70,0,3,5,5,0,0,4,0,1,10,1,0,5,0,0
4,3,26,23,23,0,5,18,18,0,0,0,0,0,23,23,392,0,0,0,0,3,7,7,0,0,5,0,1,10,1,0,7,0,0
5,1,33,32,32,0,5,27,27,0,0,0,0,0,32,32,560,0,0,100,0,3,10,10,0,0,7,0,2,20,1,0,10,0,0
6,2,38,36,36,0,5,31,31,0,0,0,0,0,36,36,728,0,0,70,0,3,13,13,0,0,8,0,1,10,1,0,13,0,0
7,8,54,46,46,0,7,39,39,0,0,0,0,0,46,46,896,0,0,30,0,3,16,16,0,0,9,0,1,10,2,0,16,0,0
8,7,62,55,55,0,7,48,48,0,0,0,0,0,55,55,1064,0,0,70,0,3,19,19,0,0,11,0,2,20,2,0,19,0,0
9,7,65,59,59,0,7,52,52,0,0,1,1,0,58,58,1414,0,0,100,0,3,22,22,0,0,12,0,1,25,2,0,22,0,0
10,5,14,9,61,52,9,0,52,0,0,0,3,3,9,58,2422,120,10,2460,1,2,26,25,1,1,13,13,1,10,3,0,26,0,0
11,4,49,48,61,13,9,39,52,0,0,3,3,0,45,58,939,36,3,160,0,2,7,10,0,1,13,1,0,0,3,0,7,1,0
12,4,59,58,71,13,9,49,62,0,0,3,3,0,55,68,1759,60,5,192,0,2,9,16,0,1,16,1,3,30,3,0,9,1,0
13,4,69,68,81,13,11,57,70,0,0,3,3,0,65,78,2474,72,6,408,0,2,12,22,0,2,17,2,1,10,4,0,12,1,0
14,4,64,63,89,26,11,52,78,0,0,3,3,0,60,86,3078,84,7,604,1,1,14,24,1,2,17,3,0,0,4,0,14,1,0
15,4,73,76,89,13,11,65,78,0,0,7,9,2,69,80,5574,144,12,6068,0,1,18,36,0,2,20,6,3,60,4,0,18,1,0
